,p_letter,s_letter,l_count,l_rank
464,u,g,835258.0,6.0
465,u,h,285761.0,14.0
466,u,i,156578.0,18.0
467,u,j,652563.0,9.0
468,u,k,1709074.0,2.0
469,u,l,798192.0,7.0
470,u,m,604989.0,10.0
471,u,n,795315.0,8.0
472,u,o,109543.0,20.0
473,u,p,295590.0,13.0
474,u,r,449426.0,12.0
475,u,s,1170034.0,3.0
476,u,š,5768.0,23.0
477,u,z,12940.0,22.0
478,u,ž,3216.0,24.0
479,u,t,1865333.0,1.0
480,u,u,1008137.0,4.0
481,u,v,207106.0,16.0
482,u,õ,212718.0,15.0
483,u,ä,1356.0,25.0
484,u,ö,65.0,27.0
485,u,ü,203.0,26.0
486,h,a,565194.0,1.0
487,h,b,5057.0,21.0
488,h,d,10783.0,18.0
489,h,e,348251.0,3.0
490,h,f,740.0,24.0
491,h,g,35894.0,14.0
492,h,h,45443.0,13.0
493,h,i,138146.0,9.0
494,h,j,611.0,25.0
495,h,k,23217.0,17.0
496,h,l,31802.0,16.0
497,h,m,5821.0,19.0
498,h,n,32123.0,15.0
499,h,o,355971.0,2.0
500,h,p,70003.0,11.0
501,h,r,52699.0,12.0
502,h,s,91876.0,10.0
503,h,š,342.0,26.0
504,h,z,5373.0,20.0
505,h,ž,11.0,27.0
506,h,t,216128.0,6.0
507,h,u,258546.0,5.0
508,h,v,3241.0,23.0
509,h,õ,181983.0,8.0
510,h,ä,199165.0,7.0
511,h,ö,3344.0,22.0
512,h,ü,261294.0,4.0
513,f,a,90683.0,2.0
514,f,b,666.0,21.0
515,f,d,5534.0,14.0
516,f,e,67805.0,3.0
517,f,f,32208.0,7.0
518,f,g,2264.0,16.0
519,f,h,1830.0,17.0
520,f,i,52201.0,4.0
521,f,j,390.0,23.0
522,f,k,3240.0,15.0
523,f,l,39928.0,5.0
524,f,m,7477.0,12.0
525,f,n,39714.0,6.0
526,f,o,122530.0,1.0
527,f,p,6396.0,13.0
528,f,r,21233.0,8.0
529,f,s,17719.0,9.0
530,f,š,17.0,26.0
531,f,z,419.0,22.0
532,f,ž,5.0,27.0
533,f,t,7808.0,11.0
534,f,u,17669.0,10.0
535,f,v,840.0,20.0
536,f,õ,24.0,25.0
537,f,ä,363.0,24.0
538,f,ö,1094.0,19.0
539,f,ü,1793.0,18.0
540,õ,a,11233.0,14.0
541,õ,b,1286.0,19.0
542,õ,d,2105.0,17.0
543,õ,e,3570.0,16.0
544,õ,f,11.0,26.0
545,õ,g,1825.0,18.0
546,õ,h,30521.0,11.0
547,õ,i,14215.0,13.0
548,õ,j,105622.0,9.0
549,õ,k,200513.0,4.0
550,õ,l,163560.0,6.0
551,õ,m,228546.0,3.0
552,õ,n,111328.0,8.0
553,õ,o,570.0,21.0
554,õ,p,194987.0,5.0
555,õ,r,22661.0,12.0
556,õ,s,232533.0,2.0
557,õ,š,537.0,22.0
558,õ,z,660.0,20.0
559,õ,ž,283.0,23.0
560,õ,t,162534.0,7.0
561,õ,u,4836.0,15.0
562,õ,v,531663.0,1.0
563,õ,õ,40572.0,10.0
564,õ,ä,1.0,27.0
565,õ,ö,246.0,24.0
566,õ,ü,59.0,25.0
567,z,a,30829.0,1.0
568,z,b,519.0,18.0
569,z,d,9579.0,10.0
570,z,e,20389.0,5.0
571,z,f,509.0,19.0
572,z,g,822.0,17.0
573,z,h,4933.0,13.0
574,z,i,22047.0,4.0
575,z,j,250.0,22.0
576,z,k,233.0,23.0
577,z,l,7548.0,12.0
578,z,m,892.0,16.0
579,z,n,26223.0,2.0
580,z,o,12550.0,8.0
581,z,p,2098.0,14.0
582,z,r,16374.0,6.0
583,z,s,12623.0,7.0
584,z,š,9.0,26.0
585,z,z,8212.0,11.0
586,z,ž,3.0,27.0
587,z,t,24545.0,3.0
588,z,u,11307.0,9.0
589,z,v,278.0,21.0
590,z,õ,1197.0,15.0
591,z,ä,136.0,25.0
592,z,ö,312.0,20.0
593,z,ü,162.0,24.0
594,ü,a,11553.0,17.0
595,ü,b,18277.0,11.0
596,ü,d,12666.0,16.0
597,ü,e,5784.0,19.0
598,ü,f,29029.0,10.0
599,ü,g,14272.0,15.0
600,ü,h,30712.0,9.0
601,ü,i,8135.0,18.0
602,ü,j,16264.0,14.0
603,ü,k,174952.0,2.0
604,ü,l,80591.0,5.0
605,ü,m,47976.0,8.0
606,ü,n,17166.0,12.0
607,ü,o,3789.0,20.0
608,ü,p,67190.0,7.0
609,ü,r,80122.0,6.0
610,ü,s,244399.0,1.0
611,ü,š,246.0,25.0
612,ü,z,1247.0,22.0
613,ü,ž,1099.0,23.0
614,ü,t,93242.0,4.0
615,ü,u,2576.0,21.0
616,ü,v,16972.0,13.0
617,ü,õ,12.0,27.0
618,ü,ä,23.0,26.0
619,ü,ö,473.0,24.0
620,ü,ü,167970.0,3.0
621,ž,a,7195.0,3.0
622,ž,b,26.0,18.0
623,ž,d,15572.0,1.0
624,ž,e,12046.0,2.0
625,ž,g,197.0,12.0
626,ž,h,2.0,22.0
627,ž,i,5858.0,4.0
628,ž,j,2.0,22.0
629,ž,k,21.0,19.0
630,ž,l,1620.0,9.0
631,ž,m,132.0,14.0
632,ž,n,1846.0,8.0
633,ž,o,2220.0,5.0
634,ž,p,3.0,21.0
635,ž,r,1896.0,7.0
636,ž,s,68.0,15.0
637,ž,š,1.0,23.0
638,ž,z,2.0,22.0
639,ž,ž,192.0,13.0
640,ž,t,30.0,17.0
641,ž,u,1999.0,6.0
642,ž,v,45.0,16.0
643,ž,õ,246.0,11.0
644,ž,ä,4.0,20.0
645,ž,ö,2.0,22.0
646,ž,ü,581.0,10.0
647,š,a,9729.0,3.0
648,š,b,103.0,17.0
649,š,d,97.0,18.0
650,š,e,3616.0,6.0
651,š,f,31.0,23.0
652,š,g,41.0,21.0
653,š,h,177.0,16.0
654,š,i,12790.0,2.0
655,š,j,69.0,19.0
656,š,k,2301.0,7.0
657,š,l,2254.0,8.0
658,š,m,408.0,14.0
659,š,n,1350.0,11.0
660,š,o,4842.0,5.0
661,š,p,449.0,13.0
662,š,r,1937.0,9.0
663,š,s,55.0,20.0
664,š,š,781.0,12.0
665,š,z,5.0,26.0
666,š,ž,7.0,25.0
667,š,t,56556.0,1.0
668,š,u,6266.0,4.0
669,š,v,346.0,15.0
670,š,õ,1629.0,10.0
671,š,ä,10.0,24.0
672,š,ö,2.0,27.0
673,š,ü,33.0,22.0
674,ä,a,711.0,19.0
675,ä,b,7562.0,14.0
676,ä,d,503.0,21.0
677,ä,e,2180.0,15.0
678,ä,f,7819.0,13.0
679,ä,g,730.0,18.0
680,ä,h,65985.0,10.0
681,ä,i,1194.0,17.0
682,ä,j,316761.0,2.0
683,ä,k,120850.0,9.0
684,ä,l,186892.0,7.0
685,ä,m,311519.0,3.0
686,ä,n,170710.0,8.0
687,ä,o,188.0,22.0
688,ä,p,283482.0,4.0
689,ä,r,38218.0,11.0
690,ä,s,33233.0,12.0
691,ä,š,19.0,26.0
692,ä,z,176.0,23.0
693,ä,ž,1538.0,16.0
694,ä,t,230919.0,6.0
695,ä,u,514.0,20.0
696,ä,v,496144.0,1.0
697,ä,õ,1.0,27.0
698,ä,ä,270630.0,5.0
699,ä,ö,26.0,25.0
700,ä,ü,143.0,24.0
701,ö,a,431.0,19.0
702,ö,b,4415.0,12.0
703,ö,d,3590.0,15.0
704,ö,e,580.0,18.0
705,ö,f,5456.0,11.0
706,ö,g,5612.0,10.0
707,ö,h,4279.0,14.0
708,ö,i,1550.0,17.0
709,ö,j,4340.0,13.0
710,ö,k,16901.0,5.0
711,ö,l,12756.0,8.0
712,ö,m,16498.0,6.0
713,ö,n,3065.0,16.0
714,ö,o,263.0,20.0
715,ö,p,19293.0,3.0
716,ö,r,15407.0,7.0
717,ö,s,17708.0,4.0
718,ö,š,47.0,24.0
719,ö,z,235.0,21.0
720,ö,ž,77.0,23.0
721,ö,t,151726.0,2.0
722,ö,u,140.0,22.0
723,ö,v,6978.0,9.0
724,ö,õ,2.0,27.0
725,ö,ä,3.0,26.0
726,ö,ö,234428.0,1.0
727,ö,ü,24.0,25.0
